Time,Memory_Pressure,CPU_Pressure,Swap_Activity,Compression_Ratio,Node0_Free,Node1_Free,NUMA_Miss_Rate,Algorithm,Compression_Ratio_Node0,Compression_Ratio_Node1
2026-03-09 17:51:48.051570,0.0,0.0,False,1.0,0,0,0.0,lzo,1.0,1.0
2026-03-09 17:57:10.105405,0.0,0.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:57:16.106650,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:57:22.107925,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:57:28.109106,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:57:34.110269,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:57:40.111360,0.0,0.3,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:57:46.113564,0.0,22.8,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:57:52.114678,0.0,20.4,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:57:58.115732,0.0,21.9,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:04.116638,0.0,4.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:10.117891,0.0,17.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:16.121269,0.0,3.7,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:22.122413,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:28.123574,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:34.124597,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:40.125795,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:46.127086,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:52.128225,0.0,0.3,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:58:58.129545,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:04.130812,0.0,0.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:10.132179,0.0,17.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:16.133309,0.0,7.3,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:22.134585,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:28.135947,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:34.137029,0.0,0.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:40.138357,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:46.139666,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:52.140885,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 17:59:58.142057,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:04.143176,0.0,0.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:10.144342,0.0,12.7,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:16.145499,0.0,12.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:22.146650,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:28.147749,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:34.149056,0.0,0.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:40.150250,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:46.151443,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:52.152586,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:00:58.153720,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:04.154949,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:10.156275,0.0,12.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:16.157526,0.0,13.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:22.159805,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:28.161247,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:34.162418,0.0,0.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:40.163591,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:46.164738,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:52.165920,0.0,0.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:01:58.167050,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:04.168162,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:10.169353,0.0,11.9,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:16.170543,0.0,14.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:22.171789,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:28.173031,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:34.174194,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:40.175285,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:02:46.176468,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
