Time,Memory_Pressure,CPU_Pressure,Swap_Activity,Compression_Ratio,Node0_Free,Node1_Free,NUMA_Miss_Rate,Algorithm,Compression_Ratio_Node0,Compression_Ratio_Node1
2026-03-11 09:46:55.828252,0.0,99.5,False,1.331945889698231,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:47:02.842330,34.65,99.0,False,1.9520026210172823,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:47:10.047573,51.77,76.9,False,1.9677624920343366,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:47:17.058543,55.23,100.0,False,1.9268750070182925,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:47:24.081661,46.61,39.6,False,1.891984664764622,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:47:34.215905,53.84,99.0,False,1.8873157659669495,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:47:41.232663,45.51,100.0,False,2.0014323890967396,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:47:48.245345,42.89,100.0,False,1.9739197343376667,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:47:55.261900,44.49,99.4,False,1.9919325794136713,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:02.271123,48.02,98.9,False,1.934514835149205,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:09.289444,45.41,98.5,False,1.8079221444425473,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:16.302043,48.04,99.4,False,1.638688637143838,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:23.315832,40.37,100.0,False,2.020635575732563,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:30.333451,52.9,100.0,False,2.0125622522614086,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:37.345868,43.75,99.5,False,1.8850868010119515,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:44.356983,48.29,99.5,False,1.9977688079349303,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:51.368846,36.2,99.5,False,1.839981393185254,0,0,0.0,zstd,1.0,1.0
2026-03-11 09:48:58.379094,41.64,67.3,False,1.6597261039686977,0,0,0.0,zstd,1.0,1.0
