Time,Memory_Pressure,CPU_Pressure,Swap_Activity,Compression_Ratio,Node0_Free,Node1_Free,NUMA_Miss_Rate,Algorithm,Compression_Ratio_Node0,Compression_Ratio_Node1
2026-03-11 09:43:23.967883,0.0,72.1,False,2.235973597359736,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:43:30.978354,0.0,100.0,False,2.235973597359736,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:43:37.997968,22.08,99.5,False,2.002286297751437,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:43:45.008786,37.33,100.0,False,2.0108995462229737,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:43:52.023947,34.25,99.2,False,2.0015548244625716,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:43:59.058300,31.52,100.0,False,2.0011122783167523,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:44:06.076911,27.73,100.0,False,1.9929000424211303,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:44:13.091885,14.54,100.0,False,1.9737518571799164,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:44:20.106250,23.61,97.8,False,1.9794246815985947,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:44:27.123125,30.4,100.0,False,1.8762336332541776,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:44:34.138043,37.0,99.5,False,1.8196301919757067,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:44:41.149886,40.35,99.5,False,1.9508854425055542,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:44:48.161002,42.0,49.1,False,1.9831204659241852,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:44:55.172346,39.35,100.0,False,1.1541704097850873,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:45:02.186093,48.55,99.5,False,1.331739989123279,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:45:09.195864,50.93,99.4,False,1.6429429900193342,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:45:16.203843,29.05,98.9,False,1.496762961753985,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:45:23.217766,29.64,98.4,False,1.1865194792809117,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:45:30.228310,24.52,84.2,False,1.1856651868824288,0,0,0.0,lz4,1.0,1.0
2026-03-11 09:45:37.237750,11.02,67.7,False,1.358280093296826,0,0,0.0,lz4,1.0,1.0
